Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTConfidence,GPTReasoningSummary,GPTError
Iepen particulier,Elm trees - private,https://maps.amsterdam.nl/open_geodata/?k=330,https://maps.amsterdam.nl/iepen,IEPEN_PARTICULIER,PointDS,ObjectDS,0.99,"Point features represent individual elm trees ('Iepen particulier'); this is a set of identifiable real-world objects, not amounts or events.",
Jongeren- en Studentenhuisvesting,Youth and Student Housing,https://maps.amsterdam.nl/open_geodata/?k=115,https://maps.amsterdam.nl/jongerenstudentenhuisvesting,JONGERENSTUDENTENHUISVESTING,PointDS,AmountDS,0.98,"Point features mark housing locations, and the key attribute is Aantal_woningen (number of dwellings), so the decisive rule is point data with numeric magnitude = AmountDS.",
Kastanjebloedingsziekte,Chestnut bleeding disorder,https://maps.amsterdam.nl/open_geodata/?k=93,https://maps.amsterdam.nl/kastanjes,KASTANJES,PointDS,ObjectDS,0.98,"Point features mark individual chestnut trees; the layer is about identifiable real-world objects, not counts or coverage. The decisive rule is point geometry -> ObjectDS.",
Klimaat - Droogte,Climate - Drought,https://maps.amsterdam.nl/open_geodata/?k=317,https://maps.amsterdam.nl/klimaatadaptatie,KLIMAAT_DROOGTE,PointDS,PointMeasuresDS,0.98,"Point features with numeric fields for ground level and groundwater depth; the layer is a sampled measurement of a continuous phenomenon at locations, so PointDS + PointMeasuresDS.",
Klimaat - Overstroming,Climate - Flood,https://maps.amsterdam.nl/open_geodata/?k=318,https://maps.amsterdam.nl/klimaatadaptatie,KLIMAAT_OVERSTROMING,VectorTessellation,CoverageDS,0.97,"Polygon layer of flood risk classes (chance/depth) covering the area as a thematic classification, so it fits tessellation geometry and full-area coverage.",
Markten,Markets,https://maps.amsterdam.nl/open_geodata/?k=123,https://maps.amsterdam.nl/markten,MARKTEN,PointDS,ObjectDS,0.97,"Point geometry with named market locations; each point is a distinct real-world market object/place, so ObjectDS fits best.",
Groene monumenten,Green monuments,https://maps.amsterdam.nl/open_geodata/?k=68,https://maps.amsterdam.nl/monumentaal_groen,MONUMENTAAL_GROEN,PointDS,ObjectDS,0.97,"Point geometry with named, countable green monuments/park objects; not a network or amount. Each point denotes a distinct real-world monument object.",
Monumentale bomen,Monumental trees,https://maps.amsterdam.nl/open_geodata/?k=59,https://maps.amsterdam.nl/monumentaal_groen,MONUMENTALE_BOMEN,PointDS,ObjectDS,0.99,"Point features mark individual monumental trees, which are distinct real-world objects rather than measurements or events.",
Monumenten,Monuments,https://maps.amsterdam.nl/open_geodata/?k=155,https://maps.amsterdam.nl/monumenten,MONUMENTEN,PointDS,ObjectDS,0.99,"Point geometry with each point representing a distinct monument/object (monument status, name, address). Decisive rule: identifiable real-world objects.",
Muurplanten,Quay wall plants,https://maps.amsterdam.nl/open_geodata/?k=106,https://maps.amsterdam.nl/muurplanten,MUURPLANTEN,PointDS,ObjectDS,0.91,"Point geometry with 1530 plant observations; each point marks a distinct quay-wall plant record/species occurrence rather than a measure or event, so ObjectDS fits best.",
NO2 metingen 4-weken,NO2 measurements 4 weeks,https://maps.amsterdam.nl/open_geodata/?k=331,https://maps.amsterdam.nl/no2,NO2_4WEKEN,VectorTessellation,AmountDS,0.97,"Polygon layer of 3292 areas keyed by code/year, representing NO2 measurement values over time. The polygons act as a tessellation/reporting-unit layer, and the main meaning is a numeric magnitude (NO2 concentration), so AmountDS.",
NO2 metingen locaties,NO2 measurements locations,https://maps.amsterdam.nl/open_geodata/?k=308,https://maps.amsterdam.nl/no2,NO2_LOCATIES,PointDS,ObjectDS,0.97,Point geometry with 302 named NO2 measurement locations; decisive rule is point locations representing distinct monitoring sites/objects rather than a field or event.,
Oergeul,Primeval gulch,https://maps.amsterdam.nl/open_geodata/?k=242,https://maps.amsterdam.nl/oergeul,OERGEUL,PlainVectorRegion,PatchDS,0.82,Polygon features do not form a full tessellation; the layer is a bounded area map of primeval gulch zones. The decisive rule is patch/selected area rather than reporting unit or coverage.,
Oergeul - sonderingen,Primeval gulch - soundings,https://maps.amsterdam.nl/open_geodata/?k=243,https://maps.amsterdam.nl/oergeul,OERGEUL_SONDERINGEN,PointDS,PointMeasuresDS,0.98,"Point soundings/boreholes are sampled measurement locations, and the key attributes are depth/elevation values (e.g., Top_Pleistoceen), so this is PointDS with PointMeasuresDS.",
Ontwikkelbuurten,Development neighbourhoods,https://maps.amsterdam.nl/open_geodata/?k=279,https://maps.amsterdam.nl/ontwikkelbuurten,ONTWIKKELBUURTEN,PlainVectorRegion,ObjectDS,0.92,"Polygon regions that are named development neighbourhoods, not a full tessellation for statistical reporting. Best fit is object-like bounded areas (development neighbourhoods) rather than coverage or lattice.",
Openbare toiletten,Public toilets,https://maps.amsterdam.nl/open_geodata/?k=240,https://maps.amsterdam.nl/openbare_toiletten,OPENBARE_TOILETTEN,PointDS,ObjectDS,0.98,Point features mark individual public toilet locations; the decisive rule is distinct real-world objects represented by points.,
Overnachtingsbeleid,Overnight policy,https://maps.amsterdam.nl/open_geodata/?k=227,https://maps.amsterdam.nl/overnachtingsbeleid,OVERNACHTINGSBELEID,VectorTessellation,ExistenceDS,0.87,"Polygon features are neighbourhood/area units that partition Amsterdam, so Geometry is tessellation. The layer marks where overnight/hotel policy is allowed or not allowed by area (SELECTIE TENZIJ/NIET), so the main meaning is Boolean presence/permission status, fitting ExistenceDS.",
Parkeernormen Auto,Parking standards Cars,https://maps.amsterdam.nl/open_geodata/?k=239,https://maps.amsterdam.nl/parkeernormen,PARKEERNORMEN,VectorTessellation,CoverageDS,0.95,"Polygon layer of parking standards categories; the regions are a tessellated area-wide thematic classification, so use VectorTessellation and CoverageDS.",
"Parken, plantsoenen en recreatief groen",City parks en public green,https://maps.amsterdam.nl/open_geodata/?k=99,https://maps.amsterdam.nl/stadsparken,PARKPLANTSOENGROEN,PlainVectorRegion,ObjectDS,0.97,"Polygon/multipolygon features represent named parks and green spaces, not a full tessellation. The decisive rule is object: each polygon is an identifiable park or public green asset, with area as an attribute.",
Postcode4-buurten,Zipcode4 shapes,https://maps.amsterdam.nl/open_geodata/?k=192,https://maps.amsterdam.nl/postcode,PC4_BUURTEN,VectorTessellation,LatticeDS,0.98,"Polygons are postcode areas that partition the city, so geometry is a tessellation. The decisive entity rule is reporting/statistical units: postcode4 zones are aggregation units with area attributes (Opp_m2).",
Postcode4-buurten excl. water,Zipcode4 shapes excl. water,https://maps.amsterdam.nl/open_geodata/?k=193,https://maps.amsterdam.nl/postcode,PC4_BUURTEN_EXWATER,VectorTessellation,LatticeDS,0.98,"Polygon postcode areas form a near-complete partition of Amsterdam, so geometry is tessellation. The decisive entity rule is reporting/statistical units: postcode4 areas with area attribute, so LatticeDS.",
Postcode6-vlakken BAG,Zipcode6 shapes,https://maps.amsterdam.nl/open_geodata/?k=191,https://maps.amsterdam.nl/postcode,PC6_VLAKKEN_BAG,VectorTessellation,LatticeDS,0.99,"Polygon postcode6 areas intended as a complete territorial partition; the decisive rule is reporting/statistical units, so this is a lattice.",
Plusnetten en Hoofdnetten,Plus and Main networks infrastructure,https://maps.amsterdam.nl/open_geodata/?k=233,https://maps.amsterdam.nl/plushoofdnetten,PLUSHOOFDNETTEN,LineDS,ObjectDS,0.97,"LineString road/transport infrastructure layer; the decisive rule is network-like line features, but the allowed entity set lacks NetworkDS, so these are best treated as identifiable linear objects (roads/networks) rather than areas or counts.",
Plusnetten Voetgangersgebied,Plusnetworks pedestrians,https://maps.amsterdam.nl/open_geodata/?k=84,https://maps.amsterdam.nl/plushoofdnetten,PLUSHOOFDNETTEN_VOETGEBIED,PlainVectorRegion,CoverageDS,0.96,"Polygons are selected pedestrian-area regions rather than a complete tessellation. The key attribute is a categorical area-wide classification (plein_park: Park/Plein), so this is a coverage-style thematic layer.",
Privacy - Masten,Privacy - Masts,https://maps.amsterdam.nl/open_geodata/?k=304,https://maps.amsterdam.nl/privacy,PRIVACY_AISMASTEN,PointDS,ObjectDS,0.97,"Point features with named locations (e.g., bridges, sluices, buildings) indicate distinct real-world objects; the decisive rule is point geometry plus object-like place names.",
Privacy - Overig,Privacy - Other,https://maps.amsterdam.nl/open_geodata/?k=306,https://maps.amsterdam.nl/privacy,PRIVACY_OVERIG,PointDS,ObjectDS,0.92,"Point geometry with each point marking a distinct privacy-related investigation/type entry; treated as identifiable objects rather than measurements, events, or amounts.",
Privacy - Wagenparkscan,Privacy - Car fleet scan,https://maps.amsterdam.nl/open_geodata/?k=305,https://maps.amsterdam.nl/privacy,PRIVACY_WAGENPARKSCAN,PointDS,ObjectDS,0.95,"Point features mark specific scan locations along streets; the decisive rule is point geometry with each point representing a distinct real-world location/object rather than an amount, event, or network.",
Verkiezingen Provinciale Staten 2019,Elections Provinces 2019,https://maps.amsterdam.nl/open_geodata/?k=280,https://maps.amsterdam.nl/provincialestaten2019,PS19,PointDS,AmountDS,0.98,"Point features mark voting locations/precinct results, and the main meaning is numeric election counts and percentages (amounts) rather than objects or events.",
Rainproof - Hoog grondwater,Rainproof - High groundwater,https://maps.amsterdam.nl/open_geodata/?k=290,https://maps.amsterdam.nl/rainproof,RAINPROOF_DRAINAGE,PlainVectorRegion,ExistenceDS,0.92,"Polygon regions mark drainage feasibility zones, not a full tessellation or reporting grid; the decisive rule is Boolean presence/absence of drainage possibility (Mogelijk/Niet mogelijk), so ExistenceDS.",
Rainproof - Hydro-eenheden,Rainproof - Hydro units,https://maps.amsterdam.nl/open_geodata/?k=289,https://maps.amsterdam.nl/rainproof,RAINPROOF_HYDRO_EENHEDEN,PlainVectorRegion,PatchDS,0.9,"Polygons are selected hydro unit areas, not a full tessellation of Amsterdam. The layer is about Rainproof solution areas/units by ID, so the decisive rule is bounded selected regions -> PatchDS.",
Rainproof - Knelpunten,Rainproof - Bottlenecks,https://maps.amsterdam.nl/open_geodata/?k=288,https://maps.amsterdam.nl/rainproof,RAINPROOF_KNELPUNTEN,PlainVectorRegion,PatchDS,0.95,"Polygon areas mark specific rainproof bottleneck zones with descriptions of local water accumulation; they are selected problem areas, not a full tessellation or reporting units, so PatchDS.",
Rainproof - Polderriool,Rainproof - Polder sewerage,https://maps.amsterdam.nl/open_geodata/?k=291,https://maps.amsterdam.nl/rainproof,RAINPROOF_POLDERRIOOL,PlainVectorRegion,ObjectDS,0.87,"Polygon features are selected locations rather than a tessellation; the layer names specific polder sewerage sites/objects (Locatie), so ObjectDS is the best fit.",
Religie,Religion,https://maps.amsterdam.nl/open_geodata/?k=314,https://maps.amsterdam.nl/religie,RELIGIE,PointDS,ObjectDS,0.98,"Point features mark distinct religious buildings/places (churches, mosques, temples), so the layer is best read as identifiable objects rather than measures or events.",
Voetpaden breedte,Sidewalks width,https://maps.amsterdam.nl/open_geodata/?k=299,https://maps.amsterdam.nl/sidewalks,SIDEWALKS,LineDS,AmountDS,0.97,"Line geometries represent sidewalk segments, and the main attribute is sidewalk width (a numeric magnitude) with obstacle/space-claim counts. This fits a line-based AmountDS rather than a network-routing layer.",
Snorfiets naar de rijbaan,Mopeds on the roadway,https://maps.amsterdam.nl/open_geodata/?k=265,https://maps.amsterdam.nl/snorfietsnaarrijbaan,SNORFIETSLIJNEN,LineDS,ObjectDS,0.96,"Line geometry with named street segments and road-side directions; this is a set of identifiable linear road-related objects, not a network flow layer.",
Openbare Sportplekken,Public playgrounds,https://maps.amsterdam.nl/open_geodata/?k=56,https://maps.amsterdam.nl/sport,SPORT_OPENBAAR,PointDS,ObjectDS,0.98,"Point features for public playground/sport facilities; each point is a distinct real-world object/facility, so use ObjectDS.",
Stadslandbouw (locaties),City farming (locations),https://maps.amsterdam.nl/open_geodata/?k=62,https://maps.amsterdam.nl/stadslandbouw,STADSLANDBOUW_PUNT,PointDS,ObjectDS,0.99,"Point locations of city farming sites with names/addresses; each point is a distinct real-world place/facility, so PointDS + ObjectDS.",
Stadslandbouw (terreinen),City farming (terrains),https://maps.amsterdam.nl/open_geodata/?k=76,https://maps.amsterdam.nl/stadslandbouw,STADSLANDBOUW_VLAK,PlainVectorRegion,ObjectDS,0.95,"Polygon features are individual named city farming sites, not a full tessellation. The decisive rule is object: each bounded area is a distinct real-world facility/park, so ObjectDS fits better than patch or coverage.",
Stadsloods,City pilot,https://maps.amsterdam.nl/open_geodata/?k=66,https://maps.amsterdam.nl/stadsloods,STADSLOODS,PointDS,ObjectDS,0.97,Point geometry with named initiatives/activities and years; the decisive rule is point-based identifiable objects/places rather than measures or events.,
